127.0.0.1 - - [14/Apr/2020:19:45:46 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:45:48 +0900] "GET /mongo/ HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:45:48 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:46:30 +0900] "GET /mongo/ HTTP/1.1" 200 848
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:46:30 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:49:30 +0900] "GET /mongo/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:49:30 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:49:33 +0900] "GET /mongo/ HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:49:33 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:50:06 +0900] "GET /mongo/ HTTP/1.1" 200 1129
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:50:06 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:50:16 +0900] "GET /mongo/ HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [14/Apr/2020:19:50:16 +0900] "GET /favicon.ico HTTP/1.1" 404 761
